"title","author","author_url","rating","voters_count","url"
"Labyrinth: A Novel Based on the Jim Henson Film","A.C.H. Smith","https://www.goodreads.com/author/show/478745.A_C_H_Smith","4.21","3316","https://goodreads.com/book/show/55453.Labyrinth"
"Warm Bodies (Warm Bodies, #1)","Isaac Marion","https://www.goodreads.com/author/show/1302285.Isaac_Marion","3.92","97854","https://goodreads.com/book/show/15842439-warm-bodies"
"The Struggles and Growth of a Man","Jamell Crouthers","https://www.goodreads.com/author/show/15056376.Jamell_Crouthers","5.0","3","https://goodreads.com/book/show/29412282-the-struggles-and-growth-of-a-man"
"The Strange Case of Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson","https://www.goodreads.com/author/show/854076.Robert_Louis_Stevenson","3.81","349889","https://goodreads.com/book/show/51496.The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde"
"Elmer Gantry","Sinclair Lewis","https://www.goodreads.com/author/show/7330.Sinclair_Lewis","3.99","4744","https://goodreads.com/book/show/1209129.Elmer_Gantry"
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)","Douglas Adams","https://www.goodreads.com/author/show/4.Douglas_Adams","4.22","1328","https://goodreads.com/book/show/161467.The_Hitchhiker_s_Guide_to_the_Galaxy"
"The Four Feathers","A.E.W. Mason","https://www.goodreads.com/author/show/217146.A_E_W_Mason","3.91","4467","https://goodreads.com/book/show/20483457-the-four-feathers"
"The Man Who Never Was: World War II's Boldest Counterintelligence Operation","Ewen Montagu","https://www.goodreads.com/author/show/211615.Ewen_Montagu","3.91","937","https://goodreads.com/book/show/19169565-the-man-who-never-was"
"Blindness","José Saramago","https://www.goodreads.com/author/show/1285555.Jos_Saramago","4.11","178219","https://goodreads.com/book/show/40495148-blindness"
"Good Wives","Louisa May Alcott","https://www.goodreads.com/author/show/1315.Louisa_May_Alcott","3.94","21568","https://goodreads.com/book/show/78960.Good_Wives"
"The Importance of Being Earnest","Oscar Wilde","https://www.goodreads.com/author/show/3565.Oscar_Wilde","4.17","288283","https://goodreads.com/book/show/92303.The_Importance_of_Being_Earnest"
"My Gal Sunday","Mary Higgins Clark","https://www.goodreads.com/author/show/99044.Mary_Higgins_Clark","3.57","6009","https://goodreads.com/book/show/2443088.My_Gal_Sunday"
"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)","Carolyn Keene","https://www.goodreads.com/author/show/6001.Carolyn_Keene","3.99","59891","https://goodreads.com/book/show/156970.The_Secret_of_the_Old_Clock"
"Meet Molly: An American Girl (American Girls: Molly, #1)","Valerie Tripp","https://www.goodreads.com/author/show/26735.Valerie_Tripp","3.93","8780","https://goodreads.com/book/show/201009.Meet_Molly"
"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen","Julie Powell","https://www.goodreads.com/author/show/8546.Julie_Powell","3.7","145261","https://goodreads.com/book/show/13747.Julie_and_Julia"
"Женитьба","Nikolai Gogol","https://www.goodreads.com/author/show/232932.Nikolai_Gogol","3.89","639","https://goodreads.com/book/show/5957718"
"The Darkness In the Light","Jaden Sparks","https://www.goodreads.com/author/show/18887734.Jaden_Sparks","5.0","2","https://goodreads.com/book/show/44035590-the-darkness-in-the-light"
"I Am Number Four (Lorien Legacies, #1)","Pittacus Lore","https://www.goodreads.com/author/show/3380908.Pittacus_Lore","3.94","302854","https://goodreads.com/book/show/7747374-i-am-number-four"
"The Positronic Man (Robot #0.6)","Isaac Asimov","https://www.goodreads.com/author/show/16667.Isaac_Asimov","4.09","5567","https://goodreads.com/book/show/651964.The_Positronic_Man"
"The Cater Street Hangman (Charlotte & Thomas Pitt, #1)","Anne Perry","https://www.goodreads.com/author/show/6331.Anne_Perry","3.9","15304","https://goodreads.com/book/show/853180.The_Cater_Street_Hangman"
"Seabiscuit: An American Legend","Laura Hillenbrand","https://www.goodreads.com/author/show/30913.Laura_Hillenbrand","4.22","137155","https://goodreads.com/book/show/110737.Seabiscuit"
"Willow","Wayland Drew","https://www.goodreads.com/author/show/35017.Wayland_Drew","4.06","2484","https://goodreads.com/book/show/1911138.Willow"
"The Red Badge of Courage","Stephen Crane","https://www.goodreads.com/author/show/19879.Stephen_Crane","3.24","85558","https://goodreads.com/book/show/1188640.The_Red_Badge_of_Courage"
"Puella Magi Madoka Magica, Vol. 1 (Puella Magi Madoka Magica, #1)","Magica Quartet","https://www.goodreads.com/author/show/4719838.Magica_Quartet","4.19","3550","https://goodreads.com/book/show/13110891-puella-magi-madoka-magica-vol-1"
"Memoirs of a Teenage Amnesiac","Gabrielle Zevin","https://www.goodreads.com/author/show/40593.Gabrielle_Zevin","3.69","33053","https://goodreads.com/book/show/317282.Memoirs_of_a_Teenage_Amnesiac"
